"";"code_departement";"date_observation"
"1";"04";"2025-07-25"
"2";"05";"2025-07-23"
"3";"06";"2025-07-25"
"4";"13";"2025-07-26"
"5";"83";"2025-07-25"
"6";"84";"2025-07-25"
"7";"2A";"2025-07-25"
"8";"2B";"2025-07-23"
